Price,Miles,Trim,Year,Vin,City,State
227777,44413,LP700,2013,ZHWUC1ZD7DLA01343,Newport Beach,CA
249800,25115,LP700,2012,ZHWUC1ZDXCLA00119,Lisle,IL
279995,9233,LP700,2012,ZHWUC1ZD1CLA01191,San Ramon,CA
275777,8756,LP700,2012,ZHWUC1ZD3CLA00690,Addison,TX
259995,11505,LP700,2012,ZHWUC1ZD6CLA00926,Bonita Springs,FL
269900,17222,LP700,2013,ZHWUC1ZD5DLA01678,Hillside,NJ
319888,19348,LP700,2015,ZHWUR1ZD9FLA03094,Boerne,TX
339990,2552,LP700,2014,ZHWUR1ZDXELA02812,Northbrook,IL
330000,2664,LP700,2013,ZHWUR1ZD6DLA01686,Madera,CA
255900,17965,LP700,2012,ZHWUC1ZDXCLA00122,Pittsburgh,PA
315000,7000,LP700,2014,ZHWUR1ZD3ELA02716,Palm Desert,CA
339900,20480,LP700,2017,ZHWUR1ZDXHLA05715,Beverly Hills,CA
365985,10833,LP700,2016,ZHWUR1ZD7GLA04469,Paramus,NJ
349951,3104,LP700,2014,ZHWUR1ZD8ELA02470,West Palm Beach,FL
335900,5275,LP700,2014,ZHWUR1ZD8ELA02677,Addison,TX
324950,12594,LP700,2015,ZHWUR1ZD7FLA03448,Miami,FL
329951,9406,LP700,2014,ZHWUR1ZD1ELA02214,West Palm Beach,FL
440000,7783,LP700,2016,ZHWUR1ZD3GLA04291,Las Vegas,NV
339888,8825,LP700,2014,ZHWUR1ZD1ELA02892,Boerne,TX
314950,14217,LP700,2014,ZHWUR1ZD9ELA02185,Miami,FL
299998,21000,LP700,2013,ZHWUC1ZD1DLA01757,Lauderdale Lakes,FL
259990,11279,LP700,2012,ZHWUC1ZDXCLA00444,N/A,N/A
439951,8242,S,2018,ZHWUV4ZD8JLA07496,West Palm Beach,FL
479991,776,S,2019,ZHWUV4ZD7KLA08222,Sterling,VA
409950,8176,S,2018,ZHWUG4ZD4JLA06582,Fort Lauderdale,FL
413991,2280,S,2018,ZHWUG4ZD3JLA06590,Sterling,VA
359990,10971,S,2018,ZHWUG4ZD9JLA06724,Concord,CA
479979,6652,S,2019,ZHWUV4ZD9KLA07993,Charlotte,NC
489950,1671,S,2019,ZHWUV4ZD6KLA08096,Marina Del Rey,CA
474977,7985,LP750,2016,ZHWUF3ZD5GLA04975,Charlotte,NC
529996,7980,LP750,2016,ZHWUF3ZD1GLA04858,Charlotte,NC
439998,20662,LP750,2016,ZHWUF3ZD6GLA04984,Lauderdale Lakes,FL
597250,2165,LP750,2017,ZHWUT3ZD4HLA05805,N/A,N/A
689900,1602,SVJ,2020,ZHWUM6ZD1LLA09138,Greenwich,CT
590000,2283,SVJ,2019,ZHWUM6ZD5KLA07925,Pompano Beach,FL
611029,251,LP720,2014,ZHWUS2ZD5ELA02341,N/A,N/A
565368,3600,LP720,2014,ZHWUD2ZD2ELA02792,N/A,N/A
488888,3357,Unspecified,2016,ZHWUF3ZD2GLA04559,N/A,N/A
